full,fips,postal,post,ap
Alabama,01,AL,Ala.,Ala.
Alaska,02,AK,Alaska,Alaska
Arizona,04,AZ,Ariz.,Ariz.
Arkansas,05,AR,Ark.,Ark.
American Samoa,60,AS,A.S.
California,06,CA,Calif.,Calif.
Colorado,08,CO,Colo.,Colo.
Connecticut,09,CT,Conn.,Conn.
District of Columbia,11,DC,D.C.,D.C.
Delaware,10,DE,Del.,Del.
Florida,12,FL,Fla.,Fla.
Georgia,13,GA,Ga.,Ga.
Guam,66,GU,Guam
Hawaii,15,HI,Hawaii,Hawaii
Idaho,16,ID,Idaho,Idaho
Illinois,17,IL,Ill.,Ill.
Indiana,18,IN,Ind.,Ind.
Iowa,19,IA,Iowa,Iowa
Kansas,20,KS,Kan.,Kan.
Kentucky,21,KY,Ky.,Ky.
Louisiana,22,LA,La.,La.
Maine,23,ME,Maine,Maine
Maryland,24,MD,Md.,Md.
Marshall Islands,68,MH,M.H.
Massachusetts,25,MA,Mass.,Mass.
Michigan,26,MI,Mich.,Mich.
Minnesota,27,MN,Minn.,Minn.
Mississippi,28,MS,Miss.,Miss.
Missouri,29,MO,Mo.,Mo.
Montana,30,MT,Mont.,Mont.
Nebraska,31,NE,Neb.,Neb.
Nevada,32,NV,Nev.,Nev.
New Hampshire,33,NH,N.H.,N.H.
New Jersey,34,NJ,N.J.,N.J.
New Mexico,35,NM,N.M.,N.M.
New York,36,NY,N.Y.,N.Y.
North Carolina,37,NC,N.C.,N.C.
North Dakota,38,ND,N.D.,N.D.
Northern Mariana Islands,69,MP,M.P.
Ohio,39,OH,Ohio,Ohio
Oklahoma,40,OK,Okla.,Okla.
Oregon,41,OR,Ore.,Ore.
Pennsylvania,42,PA,Pa.,Pa.
Puerto Rico,72,PR,P.R.
Rhode Island,44,RI,R.I.,R.I.
South Carolina,45,SC,S.C.,S.C.
South Dakota,46,SD,S.D.,S.D.
Tennessee,47,TN,Tenn.,Tenn.
Texas,48,TX,Tex.,Texas
Utah,49,UT,Utah,Utah
Vermont,50,VT,Vt.,Vt.
Virginia,51,VA,Va.,Va.
Virgin Islands,78,VI,V.I.
Washington,53,WA,Wash.,Wash.
West Virginia,54,WV,W.Va.,W.Va.
Wisconsin,55,WI,Wis.,Wis.
Wyoming,56,WY,Wyo.,Wyo.